TITILE_NAME_0	Fara Titlu
TITILE_NAME_1	Ucenic
TITILE_NAME_2	Prieten pe viata
TITILE_NAME_3	Dresor de animale
TITILE_NAME_4	Un erou în devenire
TITILE_NAME_5	Distrugator
TITILE_NAME_6	Vânator
TITILE_NAME_7	Vanator de suflete
TITILE_NAME_8	Calaretul fantoma
TITILE_NAME_9	Mai puternic decat Moartea
TITILE_NAME_10	Îmblânzitor de dragon.
TITILE_NAME_11	Imblanzitorul Focului
TITILE_NAME_12	Imblanzitorul Ghetii
TITILE_NAME_13	#REZIST
TITILE_NAME_14	Neînfricat
TITILE_NAME_15	Nemuritor
TITILE_NAME_16	Vânator de dragoni
TITILE_NAME_17	Moartea Albastra
TITILE_NAME_18	Inger Decazut
TITILE_NAME_19	Utilizator Premium
TITILE_NAME_20	YouTube
