AFF_LOVE_POINT	Love points: %d%%	
ALIGNMENT_NAME	Rank points:	
ATTACK_ERROR_UNKNOWN	Unknown attack error: %s	
CANNOT_ATTACK_DEST_IN_SAFE	The combatant is too far away.	
CANNOT_ATTACK_SELF_IN_SAFE	I cannot attack my opponent from here.	
CANNOT_EQUIP_IN_EXCHANGE	You cannot change your equipment whilst trading.
CANNOT_EQUIP_IN_SHOP	You cannot change your equipment whilst trading.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	You cannot open a private shop in a public area.
CANNOT_SHOOT_DEST_IN_SAFE	The enemy is too far away.	
CANNOT_SHOOT_EMPTY_ARROW	I need an arrow.	
CANNOT_SHOOT_SELF_IN_SAFE	I cannot attack my opponent from here. 	
CANNOT_SKILL_APPROACH	I am sure that I cannot get any closer.	
CANNOT_SKILL_ATTACK	I cannot attack that.	
CANNOT_SKILL_DEST_IN_SAFE	The opponent is too far away.	
CANNOT_SKILL_EQUIP_FISHING_ROD	I need a Fishing Pole.
CANNOT_SKILL_HAVE_TO_RIDE	I need a Horse to be able to use this. 	
CANNOT_SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.	
CANNOT_SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle.	
CANNOT_SKILL_NEED_TARGET	Who is the target?	
CANNOT_SKILL_NOT_ENOUGH_HP	I do not have enough HP!	
CANNOT_SKILL_NOT_ENOUGH_SP	I do not have enough SP!	
CANNOT_SKILL_NOT_HORSE_SKILL	I cannot use this whilst riding.	
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	I cannot use this skill with this weapon.	
CANNOT_SKILL_NOT_YET_LEARN	I have not learned this skill.	
CANNOT_SKILL_ONLY_FOR_ALLIANCE	This only affects group members.	
CANNOT_SKILL_ONLY_FOR_CORPSE	This only affects dead people.	
CANNOT_SKILL_REMOVE_FISHING_ROD	I cannot use this skill with a Fishing Pole.
CANNOT_SKILL_SELF_IN_SAFE	I cannot attack from here.	
CANNOT_SKILL_USE_SELF	I cannot use this on myself.	
CANNOT_SKILL_WAIT_COOLTIME	I cannot use this skill yet.	
CANNOT_USE	You cannot use this.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispering.	SA
CANNOT_WHISPER_NOT_LOGON	%s is not online.	SA
CANNOT_WHISPER_SELF_REFUSE	You cannot whisper something to someone when you have completely blocked whispering. 	SNA
CHANNEL	Channel	
CHANNELING_CANNOT_LOGOUT	You cannot go back to the login screen.	
CHANNEL_EMPTY_SERVER	No server	
CHANNEL_NORMAL	Channel %d	
CHANNEL_NOTIFY_FULL	This channel is full! Please choose another one.
CHANNEL_NOT_FIND_INFO	No information found via the Channel.	
CHANNEL_PVP	Free duel	
CHANNEL_SELECT_CHANNEL	Choose the channel	
CHANNEL_SELECT_REGION	Choose region.	
CHANNEL_SELECT_SERVER	Choose server	
CHANNEL_TEST_SERVER	Test server	
CHANNEL_TEST_SERVER_ADDR	Test %s:%d	
CHAT_ALL	All	
CHAT_BLOCK	Block	
CHAT_GUILD	Guild	
CHAT_INFORMATION	Info	
CHAT_INSULT_STRING	This sentence has invalid words in it.	
CHAT_LOG	Show old messages [L]	
CHAT_LOG_TITLE	Chat-log	
CHAT_NORMAL	Normal	
CHAT_NOTICE	Announcement	
CHAT_PARTY	Group	
CHAT_SEND_CHAT	Send chat	
CHAT_SEND_MEMO	Send whisper[Shift+Enter]	
CHAT_SHOUT	Call	
CHAT_SHOUT_LIMIT	You can only call every 15 seconds.	
CHAT_WHISPER	Whispering	
CREATE_ERROR_GM_NAME	You are not allowed to use 'GM' in your character name.	
CREATE_ERROR_INSULT_NAME	This name is invalid.	
CREATE_EXIST_SAME_NAME	Another character already has this name.	
CREATE_FAILURE	You cannot create the character	
CREATE_GM_NAME	GM	
CREATE_INPUT_NAME	Enter the name.	
CREATE_PLUS_STAT	There are still status points available. 	
DAY	Days	
DO_YOU_BUY_ITEM1	Do you want to buy %s for %s?	
DO_YOU_BUY_ITEM2	Do you want to buy %s %s for %s?	
DO_YOU_DROP_MONEY	Do you want to drop %d Yang?
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s?	
DO_YOU_SELL_ITEM2	Do you want to sell %s %s for %s?
DO_YOU_WANT_TO_REMOVE_ITEM	Do you want to remove %s?
DO_YOU_WANT_TO_CLOSE_OFFLINE_SHOP	Do you want to close offline shop?
OFFLINE_SHOP	Offline Shop
OFFLINE_SHOP_CHANGE_TIME	Your offline shop's time is changed with %d hour(s)
OFFLINE_SHOP_CHANGE_TIME2	Your offline shop's time is changed with unlimited.
OFFLINE_SHOP_SELECT_TIME	You are choose to new time (%d)
OFFLINE_SHOP_SELECT_TIME2	You are choose to unlimited.
OFFLINE_SHOP_WARNING1	<Offline Shop Warning> You will buy everything without any confirm when you are active this.
OFFLINE_SHOP_WARNING2	<Offline Shop Warning> Please be carefull about this.
DRAGON_SOUL_CANNOT_REFINE	This Dragon Stone cannot be refined.
DRAGON_SOUL_CANNOT_REFINE_MORE	This Dragon Stone has already reached the highest level.
DRAGON_SOUL_EQUIP_WARNING1	It is difficult to remove a Dragon Stone once it is attached.
DRAGON_SOUL_EQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_EXPIRED	Expired Dragon Stone
DRAGON_SOUL_INVALID_DRAGON_SOUL	That is the wrong Dragon Stone.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	That is not a Dragon Stone.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	That is not the right Dragon Stone.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	You do not have enough material to refine.
DRAGON_SOUL_NOT_MATCHED_SLOT	The Dragon Stone does not fit in this slot.
DRAGON_SOUL_STEP_LEVEL1	Clarity: matt,
DRAGON_SOUL_STEP_LEVEL2	Clarity: clear,
DRAGON_SOUL_STEP_LEVEL3	Clarity: flawless,
DRAGON_SOUL_STEP_LEVEL4	Clarity: brilliant,
DRAGON_SOUL_STEP_LEVEL5	Clarity: excellent,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragon Stone may be destroyed in the process.
DRAGON_SOUL_UNEQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_UNMATCHED_SLOT	That is the wrong slot.
DRAGON_SOUL_UNQUALIFIED	You cannot yet use Dragon Stone alchemy.
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
EMOTION_ANGRY	Aggravating	
EMOTION_ATTRACTIVE	Seduction	
EMOTION_BANTER	Sneering	
EMOTION_CHEERS_1	Cheers 1	
EMOTION_CHEERS_2	Cheers 2	
EMOTION_CHEERUP	Cheer	
EMOTION_CHOOSE_ONE	Choose a target.	
EMOTION_CLAP	Claps	
EMOTION_CLAP_KISS	Kiss	
EMOTION_CONGRATULATION	Approval	
EMOTION_DANCE_1	Dance 1	
EMOTION_DANCE_2	Dance 2	
EMOTION_DANCE_3	Dance 3	
EMOTION_DANCE_4	Dance 4	
EMOTION_DANCE_5	Dance 5	
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Forgiveness	
EMOTION_FRENCH_KISS	French Kiss	
EMOTION_JOY	Joy	
EMOTION_SAD	Sad	
EMOTION_SHY	Rejection	
EMOTION_SLAP	Hit	
EMPIRE_A	Shinsoo Kingdom	
EMPIRE_B	Chunjo Kingdom	
EMPIRE_C	Jinno Kingdom
EXCHANGE_CANNOT_GIVE	This item cannot be traded.
EXCHANGE_CANT_EDIT_MONEY	You cannot change the sum now.	
EXCHANGE_FAILURE_EQUIP_ITEM	You cannot exchange equipped Items.
EXCHANGE_MONEY	Sum	
EXCHANGE_TITLE	Trade with %s
FISHING_FAILURE	You lost the Bait.	
FISHING_NOTIFY1	It looks like  %s is hooked.	
FISHING_NOTIFY2	It looks like %s is on the hook.	
FISHING_SUCCESS1	You captured %s!	
FISHING_SUCCESS2	You have pulled %s out of the water!	
FISHING_UNKNOWN	Something has taken the bait but you can't see what it is.	
FISHING_WRONG_PLACE	You cannot go fishing here.	
FOR_FEMALE	for female	
FOR_MALE	for male	
GAME_CANNOT_MINING	You cannot mine Ore while riding.	
GAME_CANNOT_PICK_ITEM	You cannot collect this Item as you did not win it.	
GAME_INIT_ERROR_CURSOR	The cursor could not be established.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 must be installed so that the game can run.\nInstall DirectX 8.1 or higher.	
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No graphic device could be found. \nCheck if your VGA card is correctly installed.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Graphic device could not be established. \nCheck if you have a VGA card. \nAlternatively, you can active the hardware accelerator.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	The graphics card of the computer does not support the window mode in 32bit Mode. \nChange to 16bit Mode or use Full Screen Mode.
GAME_INIT_ERROR_ITEM_PROTO	No Item data there.\nInstall the game again.	
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe could not be established	
GAME_INIT_ERROR_MOB_PROTO	No Monster Data there.\nInstall the game again.	
GAME_INIT_ERROR_NETWORK	Network devices could not be established.\nCheck your internet connection.	
GAME_PICK_MONEY	You have received %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.	
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder metin2/upload.	
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.	
GUILDWAR_CTF_TITLE	Flag captured.	
GUILDWAR_NORMAL_TITLE	Field Battle	
GUILDWAR_QUESTION_LINE_1	The Guild %s  declared war on your Guild.	
GUILDWAR_QUESTION_LINE_2	Do you accept? (%s)	
GUILDWAR_UNKNOWN_TITLE	...	
GUILDWAR_WARP_TITLE	Arena Battle
GUILD_BUILDING_GRADE	Rank	
GUILD_BUILDING_NAME	Name of building	
GUILD_CANNOT_HEAL_GSP_ANYMORE	The Dragon Ghost Energy is already fully restored.
GUILD_COMMENT	Write	
GUILD_CREATE_ERROR_INSULT_NAME	Guildname is not valid.	
GUILD_DEFAULT_GRADE	Guild members	
GUILD_DELETE	Delete	
GUILD_DEPOSIT	Deposit	
GUILD_DO_YOU_HEAL_GSP	Do you want to restore %d units of Dragon Ghost for %d Yang?
GUILD_DO_YOU_JOIN	 has invited you. Do you want to join the guild?
GUILD_EMPTY_AREA	Empty land	
GUILD_ENEMY_GUILD_NAME	Guild name of the enemy	
GUILD_FACILITY	Outbuilding	
GUILD_GEM	Gem	
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	Restore Dragon ghost
GUILD_INFO_ENEMY_GUILD_EMPTY	None	
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 3 required
GUILD_NAME	Guild name	
GUILD_NOT_ENOUGH_MATERIAL	Not enough building material for this building.
GUILD_NOT_ENOUGH_MONEY	Not enough Yang for this building.
GUILD_NO_NOTICE_PERMISSION	You do not have the rights to make an announcement.	
GUILD_OBJECT	Objects	
GUILD_OFFER_EXP	Invest experience
GUILD_SHORT_EXP	Not enough experience points.
GUILD_TILE_BASEINFO	Basic Information	
GUILD_TILE_BOARD	Blackboard	
GUILD_TILE_GRADE	Rights Administration	
GUILD_TILE_INFO	Guild Information	
GUILD_TILE_MEMBER	Guild Members	
GUILD_TILE_SKILL	Guild Skills	
GUILD_WAR_LIMIT_30MIN	Time: 30 Minutes	
GUILD_WAR_REWARD_POTION	Reward: The winner receives a Potion	
GUILD_WAR_USE_BATTLE_MAP	Location: Guild War Arena
GUILD_WAR_USE_NORMAL_MAP	Location: Normal Map
GUILD_WAR_WIN_CHECK_SCORE	The highest result wins the war.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capture the flag of your enemy
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	and carry it to your base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Defeat all enemies to win.	
GUILD_WITHDRAW	Fallback	
GUILD_YOU_DO_NOT_JOIN	You are not a member of any Guild.	
HORSE_HEALTH0	Dead	
HORSE_HEALTH1	Starving
HORSE_HEALTH2	Hungry
HORSE_HEALTH3	Full	
HORSE_LEVEL1	Normal Horse
HORSE_LEVEL2	Battle Horse
HORSE_LEVEL3	Military Horse
HOUR	Hours	
