DETAILS_TITLE	Details
DETAILS_CATE_1	Schaden/Verteidigung
DETAILS_CATE_2	Elementarboni
DETAILS_CATE_3	Klassenboni
DETAILS_CATE_4	Waffenboni
DETAILS_CATE_5	Sonstige Boni
DETAILS_CATE_6	Spezialboni
DETAILS_1	St. vs. Halbmenschen
DETAILS_2	Wid. vs. Halbmenschen
DETAILS_3	Stark vs. Orks
DETAILS_4	Stark vs. Untote
DETAILS_5	Stark vs. Monster
DETAILS_6	St. vs. Zodiak-Monster
DETAILS_7	Stark vs. Tiere
DETAILS_8	Stark vs. Esoterische
DETAILS_9	Stark vs. Teufel
DETAILS_10	St. vs. Wüstenmonster
DETAILS_11	Stark vs. Insekten
DETAILS_12	Angriffswert
DETAILS_13	Verteidigungswert
DETAILS_14	Durchschnittsschaden
DETAILS_15	Wid. Durchschnittssch.
DETAILS_16	Fähigkeitsschaden
DETAILS_17	Wid. Fähigkeitssch.
DETAILS_18	Magie-/Nahkampfangriff
DETAILS_19	Magischer Angriff
DETAILS_20	Krit. Trefferchance
DETAILS_21	Durchb. Treffer
DETAILS_22	Wid. krit. Treffer
DETAILS_23	Wid. durchb. Treffer
DETAILS_24	Blitzwiderstand
DETAILS_25	Eiswiderstand
DETAILS_26	Wid. vs. Dunkelheit
DETAILS_27	Feuerwiderstand
DETAILS_28	Windwiderstand
DETAILS_29	Erdwiderstand
DETAILS_30	Kraft der Blitze
DETAILS_31	Kraft des Eises
DETAILS_32	Kraft der Dunkelheit
DETAILS_33	Kraft des Feuers
DETAILS_34	Kraft des Windes
DETAILS_35	Kraft der Erde
DETAILS_36	Stark vs. Krieger
DETAILS_37	Stark vs. Ninja
DETAILS_38	Stark vs. Sura
DETAILS_39	Stark vs. Schamanen
DETAILS_40	Stark vs. Lykaner
DETAILS_41	Abwehr vs. Krieger
DETAILS_42	Abwehr vs. Ninja
DETAILS_43	Abwehr vs. Sura
DETAILS_44	Abw. vs. Schamanen
DETAILS_45	Abwehr vs. Lykaner
DETAILS_46	Schwertverteidigung
DETAILS_47	Zweihandverteidigung
DETAILS_48	Dolchverteidigung
DETAILS_49	Krallenverteidigung
DETAILS_50	Glockenverteidigung
DETAILS_51	Fächerverteidigung
DETAILS_52	Pfeilverteidigung
DETAILS_53	Ohnmachtschance
DETAILS_54	Verlangsamungschance
DETAILS_55	Vergiftungschance
DETAILS_56	Giftwiderstand
DETAILS_57	Blutungsangriff
DETAILS_58	Wid. Blutungsangriff
DETAILS_59	Lebensraub
DETAILS_60	MP-Raub
DETAILS_61	TP-Wiederherstellung
DETAILS_62	MP-Wiederherstellung
DETAILS_63	Angriff blocken
DETAILS_64	Pfeilangriff ausweichen
DETAILS_65	Nahkampftr. reflekt.
DETAILS_66	TP-Wdsg. beim Töten
DETAILS_67	MP-Wdsg. beim Töten
DETAILS_68	2-fach EXP
DETAILS_69	2-fach Yang
DETAILS_70	Dropchance
DETAILS_71	Angriffswert
DETAILS_72	Verteidigung
DETAILS_73	EXP
DETAILS_74	Dropchance
DETAILS_75	2-fach Yang
DETAILS_76	Magiewiderstand
DETAILS_77	Magiebruch
DETAILS_TOOLTIP_1	Stark gegen Halbmenschen: Fügt Halbmenschen größeren Schaden zu.
DETAILS_TOOLTIP_2	Widerstand gegen Halbmenschen: Verringert den Schaden, den man von Halbmenschen erleidet.
DETAILS_TOOLTIP_3	Stärke gegen Orks: Fügt Orks größeren Schaden zu.
DETAILS_TOOLTIP_4	Stark gegen Untote: Fügt Untoten größeren Schaden zu.
